Data from USB2G573461__40__15-11-29-450.txt Node

Date: Tue Feb 15 15:11:29 EST 2022
User: sammynoelparise
Spectrometer: USB2G57346
Scans to average: 1
Trigger mode: 4
Integration Time (sec): 1,000000E-1
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 651
>>>>>Begin Spectral Data<<<<<
350	0,79
351	1,9
352	-1,48
353	0,08
354	-1,29
355	0,08
356	-2,95
357	-0,3
358	-1,87
359	1,72
360	-2,3
361	-0,01
362	-1,52
363	2,71
364	-2,19
365	1,42
366	-1,3
367	3,07
368	-2,55
369	1,72
370	0,67
371	-2,26
372	4,7
373	0,87
374	-0,69
375	-0,31
376	1,11
377	-0,43
378	4,82
379	-1,59
380	2,6
381	0,73
382	1,46
383	1,13
384	0,93
385	4,91
386	-1,62
387	0,82
388	3,46
389	0,93
390	-0,06
391	2,59
392	2,78
393	3,68
394	1,61
395	1,66
396	0,67
397	2,71
398	0,61
399	-0,01
400	6,67
401	6,41
402	-0,51
403	-0,13
404	1,98
405	5,04
406	2,51
407	3,67
408	3,74
409	0,35
410	-1,98
411	-2,61
412	0,94
413	5,31
414	2
415	1,25
416	1,73
417	-0,19
418	4,17
419	4,79
420	3,68
421	2,54
422	3,36
423	2,22
424	0,39
425	-1,43
426	3,5
427	4,86
428	5,06
429	2,49
430	-0,94
431	-0,26
432	2,61
433	6,34
434	2,35
435	3,22
436	1,03
437	3,89
438	-0,3
439	-0,15
440	2,58
441	1,1
442	2,37
443	2,43
444	4,82
445	1,6
446	5,41
447	2,72
448	4,51
449	1,7
450	4
451	4,12
452	2,62
453	4,68
454	7,8
455	4,03
456	4,32
457	3,68
458	2,02
459	3,27
460	1,62
461	2,71
462	1,33
463	0,6
464	3,51
465	2,34
466	3,32
467	6,43
468	3,72
469	-0,69
470	5,03
471	4,02
472	3,76
473	3,45
474	-0,17
475	3,51
476	3,28
477	7,56
478	5,14
479	2,66
480	1,7
481	0,53
482	4,54
483	3,3
